label	sentence
0	And we will not share Android ID with any other third party.
0	We may collect information about your subscription orders, such as purchase items, subscription time, order status, payment time
0	We do not collect and we are not responsible for the collection or security of payment details
5	Payment information is processed and stored using third-party companies (such as Google).
5	These companies can be contacted through their websites: https://play.google.com
0	Before entering your personal payment details, we suggest that you read and become familiar with the privacy policy of these third-party companies.
4	The purposes of the payment data are:(1) to operate and update the Software and the Services, and provide you with existing and new functionality and features; (2) to improve and customize the Software and the Services; (3) to maintain, test, monitor and improve the quality and operation of the Software.
4	Sharing Information with Third Parties.
2	We will not share any personal information that we have collected from you except for the following events:
4	If we are required by law to disclose your information, we may share your information with law enforcement or other competent authorities and any third party, as may be required (e.g., to detect, prevent or otherwise address fraud, security, or technical issues; to respond to claims or satisfy any legal process, subpoena, or governmental request; or to protect the rights, property, or personal safety of the team＊s users, its partners, or the general public);
0	In the event the team goes through a business transition such as a merger or acquisition by another company, consolidation, change of control, reorganization, or sale of all or a portion of its assets, your information will be among the assets transferred;
0	We may share your information with certain third parties (including, without limitation, search engines, content providers, and advertising networks and platforms) that provide various services (such as advertising, marketing, analysis, content, payment, and search) in connection with the Software and the Services
0	We take appropriate measures to ensure that no user can be individually identified from the disclosure of such information, and we require these third parties (i) to keep the data secured; (ii) not to use the data for any other purpose other than to provide us with Services; and (iii) to use the data solely in compliance with this Privacy Policy
5	If you want to delete any personal data which we have shared with the third parties, please contact us by email at: game.logo.word.guessing.puzzle@gmail.com. 
0	We would try our best to notify the third party of deleting the relative personal data, but no warranty as to the deletion is made by us.
0	Certain Services may contain contents linking to advertisements, websites, products and other services provided by third parties in our Software (collectively, Third Party Services)
0	The use of such Third Party Services is subject to their privacy policies
0	You shall be aware that the use of the Third Party Services may give these third parties the ability to access, collect, store, and/or share your information, both your personal information and non-personally identifiable information
0	In order to clarify, we do not review, approve, monitor, endorse, warrant, or make any representations with respect to such Third Party Services and your access to any Third Party Services is at your own risk
0	We are not responsible for the information contained and/or made available through, the practices of, or your use or inability to use such Third Party Services
0	You expressly relieve us from any and all liability arising from your use of such Third Party and Services
0	We recommended that you read the terms, conditions and privacy policies of such third party before using or accessing any of them.
1	For providing customized advertisement, the third-party advertising companies may collect or use your personal information (not including your name, address, email address or telephone number) when you use the Software or the Service.
5	If you would like more information about this practice and to know your choices about not using this function or sharing this information with these companies,please see:http://www.networkadvertising.org/managing/opt_out.asp
0	Security of Your Information
0	The security of user＊s information is our utmost priority, and we take strict measures in order to protect the data from unauthorized access, use, disclosure or destruction of data
0	We have implemented physical, technical and administrative security measures for the Services that comply with applicable laws and industry standards
0	For example, we use firewalls, encryption technology and Network access designed to protect against fraud and identity theft; our data is only stored in centers that provide high-level security for user＊s information.
0	We also protect user＊s privacy by seeking to minimize the amount of sensitive data and personal information
0	We also seek appropriate contractual protection from our partners regarding their treatment of user data.
0	Please be aware, however, that no method of transmitting information over the Internet or storing information is completely secure
0	Accordingly, we cannot guarantee the absolute security of any information.
3	Usually we do not store the technology information we collected, such information will be deleted automatically once you quit from the Software. 
3	If we retain the information we collect as described in this Privacy Policy, it is only for as necessary for the provision of the Services, internal analytical purposes, or to comply with its legal obligations, resolve disputes and enforce agreements (e.g. settlement). 
3	The criteria used to determine the retention periods include: 
3	(i) how long the personal data is needed to provide the Services and operate the business; (ii) the type of personal data collected; and (iii) whether we are subject to a legal, contractual or similar obligation to retain the data (e.g., mandatory data retention laws, government orders to preserve data relevant to an investigation, or data that must be retained for the purposes of litigation or disputes).
3	We will only keep your personal information for no longer than three (3) years unless otherwise required by applicable laws or regulations.
0	Your Data Rights
8	You have the right to access, modify, correct or delete your personal data which we may have collected. In order to exercise this right, please contact us by email at:game.logo.word.guessing.puzzle@gmail.com.
0	If you are in the EEA, you have a right to (subject to a limited number of exceptions): 
8	(i) request access to and rectification or erasure of your personal information;
9	obtain restriction of processing or to object to processing of your personal information
11	; and (iii) ask for a copy of your personal information to be provided in a digital format. 
12	You also have the right to lodge a complaint about the processing of your personal information with your local data protection authority in the EEA
0	To exercise this right please contact us by email at: game.logo.word.guessing.puzzle@gmail.com.
0	If we are required to provide you with notice of a particular event or incident, we will send you such notice by email.
0	We ensure that we comply with the applicable law and regulation regarding children's online privacy protection, and does not knowingly collect personal information about users directed to children under the age of thirteen (13)
0	If you are in the EEA, our Services are not directed to children under 16 and we do not knowingly collect personal information from children under 16
0	If a parent or guardian becomes aware that his or her child has provided us with information without their consent, he or she should promptly contact us and we take reasonable steps to ensure that such information is deleted from our files.
0	Transfer of Data Outside Your Territory.
0	The Software and the Services work over the Internet
0	We may store and process your information in various locations throughout the world
0	Where you located in the EEA, as required by law, you hereby provide us with your express consent to transfer your data to where may be outside of EEA once you use the Software and/or the Services
0	You may withdraw your consent at any time.
0	How to Contact us.
5	If you have any questions or concerns with respect to any matter covered by this Privacy Policy, you may contact us by email at: game.logo.word.guessing.puzzle@gmail.com
0	WE PUBLISH CASUAL ACTION GAMES FOR MOBILE AND TABLETS.
0	ROOSTER GAMES : PRIVACY & COOKIES POLICY
0	This is the Privacy & Cookies Policy of Rooster Games.All Rights Reserved.
5	If you have any queries about this Policy, please contact Rooster Games using the contact details below.
0	Who this Policy applies to : By playing the Games or visiting the Website you are agreeing to be bound by this Policy in respect of the information collected about you
0	Rooster Games may change this Policy at any time.This Policy applies to the following people: people who use the Games and job applicants and former employees
0	People who use the Games:
0	Rooster Games will collect the following information from you when you use the Games:
1	If you sign into one of the Games through a social network information that network may allow information about you to be accessed by Rooster Games.
1	 For example on Facebook, your Facebook ID, email address, information relating to your friends, profile picture, gender, language, geo-location or the device you are using.
0	 However, you can change what information Rooster Games can access by changing your privacy features on such social networks;
1	If you sign up to one of the Games, we may collect your name, your e-mail address and device you are using;
0	-information in relation to your purchases
0	-information collected by Rooster Games use of cookies (Detailed Below Table 1)
0	What if Rooster Games cannot collect this information:
0	-You can use privacy settings on your social networks to prevent us collecting certain of the above information about you
5	If you still have concerns about the information we collect please contact us at any time by sending an e-mail to info@roostergames.net
0	-Your purchase and in-app purchases within the Games are handled through the platform on which you purchased the Game or through other payment processors (e.g
0	the Apple App Store, Google Play)
0	Rooster Games does not retain any card or payment details, although Rooster Games does keep a record of your purchases and your aggregate spending.
0	People who contact to Rooster Games by email
4	Rooster Games will only use this information to process the complaint and to check on Rooster Games services and staff.
4	How Rooster Games uses collected information from people who play the Games:
4	Rooster Games may use your information to:
0	facilitate the improvement of the Games and your experience of the Games;
0	prevent fraud or illegal activities;
0	provide technical support in relation to player enquires, resolving disputes, collecting fees and troubleshooting;
0	complete your transactions;
0	share with third parties for the purposes as described in paragraph below.
0	Sharing information with third parties :
0	-Rooster Games will not pass your information to third party advertisers for them to market to you other than as described in this paragraph
0	subject to its obligations to comply with applicable data protection legislation, share your information with third parties including:
0	as part of the Games your information (for example your name, profile picture or user ID) may be posted on a Leaderboard of top scorers within the Game to be shared with other players and your social networks
0	You may also share elements of your performance or participation in the Games (e.g
0	your personal car design) with other players and your social networks;
0	in anonymised form with data aggregators and service providers as part of an analysis of player metrics or sales performance; or
0	with law enforcement agencies in compliance with law enforcement.
0	-Rooster Games has implemented technology and policies to safeguard your privacy from unauthorised access and improper use.Rooster Games has implemented technology and policies to safeguard your privacy from unauthorised access and improper use
0	Third Party Cookies:
0	-Third Party advertisers may place or read cookies on your browser or device in the Games
0	This Policy is applicable only to the use of cookies by Rooster Games and does not cover the use of cookie by any third parties (including advertisers ).
0	Rooster Games's Policy towards children:
0	-Rooster Games's Games are intended for anyone who is legally entitled to own a device that access them and play them and anyone who is legally entitled to make in-app purchases by the payment functionality the Games provide
2	However, Rooster Games does not knowingly collect personally identifiable information in relation to children under the age of 13.
0	What are Cookies? Cookies are small text files that are placed on your device when you play a Game
0	Rooster Games's use of cookies is detailed below
0	Session cookies enable you to move from page to page within websites, Facebook or Games and any information you enter will be remembered but is deleted when you close your browser or after a short time
0	Persistent cookies allow us to remember your preferences and settings when you play the Games in the future, in different browser sessions.
0	Company Information Rooster Games Game Development Company Kuspinar mah Lise 1 Cad
0	PHONE : +90 258 242 242 7
0	Cookie Type Purpose
0	Google Analytics Rooster Games uses Google Analytics cookies to collect information about how visitors use the Website, which Rooster Games use to help improve it
0	These cookies collect information in an anonymous form, including the number of visitors to the Website, where visitors have come to the Website from and the pages they visited.
0	Performance Cookies Rooster Games uses persistent cookies and session cookies to, for example, assist in the navigation around the Games, to enhance your use of the Games and to support graphic and video features;
0	Analytics Cookies Rooster Games uses cookies to collect information about how you use our games including information such as how long you are on particular pages, how often you use our games, what you do, what you view and what you buy in our games
0	Like on Facebook
0	Follow on Twitter
0	Watch on Youtube
0	All rights reserved
0	We＊ve updated our Terms of Use and Privacy Policy, effective May 25, 2018.
0	Our website uses cookies and similar technologies to make the site work and improve your user experience
0	By using this website, you consent to the use of cookies
0	Read our updated Cookie Policy to learn more.
0	Create a free account!
0	Participate with the community, customize your profile, and save videos to your watchlist!
0	PRIVACY POLICY FOR ROOSTER TEETH SERVICES
1	We collect personal information you choose to share with us and our partners so we can provide you with a more customized experience. 
0	Your information is kept secure through industry norms, but security can be breached, especially if you are not careful with protecting your username and password
0	You can modify your information through your account settings, but we may retain your information on an aggregate, non personally-identifiable basis for bona fide business purposes even if you are no longer a registered user or customer.
0	Please read this Privacy Policy carefully, along with our Terms of Use and Cookie Policy (collectively, the ※Agreement§)
0	By continuing to use our Services, you are expressly consenting to the collection, storage, use and disclosure of your personal information as described in this Privacy Policy.
0	You further acknowledge that the Services use the YouTube API Servicesand, as such, you consent to the terms of the Google Privacy Policy.
0	INTRODUCTION TO OUR PRIVACY POLICY
0	We at Rooster Teeth Productions, LLC (※Rooster Teeth,§ the ※Company,§ ※we,§ ※us,§ or ※our§, including our parents and affiliates) know that our users care how their personally identifiable information (※Information§) is used and shared, and we take your privacy seriously
0	This Privacy Policy (the ※Policy§) describes how we collect, use, and disclose Information when you use any of our Services, including but not limited to:
0	Company websites, pages, sites, accounts, or channels accessible through any Internet or wireless enabled device (each, a ※Website§);
0	Ticketing and live event gatherings we host or sponsor; and
0	Company online platforms and related offerings.
0	By visiting or using the Services in any manner, you acknowledge that you accept the practices and policies outlined in this Agreement.
0	You must be 18 or older to use our Services
0	Minors under 18 and at least 13 years of age are only permitted to use our Services through an account owned by a parent or legal guardian with their appropriate permission and under their direct supervision
2	We do not knowingly collect or solicit Information from anyone under the age of 13 or knowingly allow such persons to register for the Service.
0	WHAT INFORMATION WE COLLECT
0	Information You Provide to Us
0	You may not have to create an account to use some of our Services
1	However if you do choose to create an account and sign up for a Service, we may collect a variety of information from you for that Service based on what you provide to us, such as: name, birth date or age range, gender, and email or physical address.
0	 If you are paying for the Service, standard payment and billing information is required
2	We do not require users to provide their race, ethnicity, political opinions, religious or philosophical beliefs, trade union membership, physical or mental health, sexual orientation or criminal record in their account. 
0	Please do not post or add personal data to your account that you would not want to be publicly available.
0	Depending on which Services you choose to use, additional information may be collected and stored, if necessary in order for us to provide a particular Service
0	Such information includes:
0	biographical and professional information, association affiliation, demographic data, and financial information;
0	information responsive to polls or surveys, disclosed in applications for employment, or requested in order to provide information about our business, employment, products or services;
0	transactional information based on your activities on the Website;
0	shipping, ordering, billing and other similar information you provide to purchase or ship an item or service;
0	community discussions, chats, dispute resolution, correspondence through the Website, and correspondence sent to us;
0	computer sign-on data, time and date data, statistics on page views, your IP address, your GPS location, the type of computing environment you use, and traffic to and from the Website (including data about you whenever you interact with the Website, such as when you search, click on links, send messages, make comments, replies or queries, and select best replies);
0	other technical information or data collected from Website traffic, including IP address and standard web log information and information gathered from cookies, beacons and other mechanisms;
0	supplemental or additional information we may request from you in the event previous information you＊ve provided cannot be verified;
0	your content and any other information that you choose to make available via the Website or that other users of the Website share about you; and
0	other information that you voluntarily provide to us.
0	Information Collected Automatically By Us
1	Whenever you interact with our Service, we automatically receive and record technical information such as your device, IP address, ※cookie§ information (as described in our Cookie Policy), the version of your operating system (※OS§), and the page you requested. 
1	nan
1	nan
0	Information from Third Parties and Advertisers
0	We work with third party advertisers, networks, and service providers who assist us in managing or providing the Service (e.g., payment processors) and who collect some of the information described above
0	We may also collect contextual or demographic data about our users from third parties, in order to more effectively deliver the Service or content in which we think you would be interested
0	Unless you have been notified otherwise, all information collected through our authorized third party service providers remains governed by security and confidentiality obligations consistent with this Policy and applicable law.
0	Using Other Sites to Login to our Websites or Services
0	Some users may choose to connect to our Websites or Services using third-party account credentials (for example, your Facebook login or YouTube account)
0	If you choose to connect your account using a third-party account, you understand some of your Information may be shared with us or the respective third-party platform
0	Your information may also be subject to separate policies of such third-party platform
0	You should review those policies before providing consent
0	Connecting your account to third-party applications or services is optional
0	You can revoke this permission anytime in your account settings.
0	Some of our Services allow advertisers and their networks to collect and use certain anonymous Information about you (e.g
0	click stream information, browser type, time and date, subject of advertisements clicked or scrolled over) in order to provide advertisements of interest to you
0	These companies typically use a cookie or third party web beacon to collect this information
0	To learn more about this behavioral advertising practice or to opt-out of this type of advertising, you can visit networkadvertising.org.
0	Cookies and Similar Technologies
0	As further described in our Cookie Policy, we use cookies and similar technologies (e.g
0	We also allow some others to use cookies as described in our Cookie Policy
0	You can control cookies through your browser settings and other tools.
0	Our Services are dynamic, and we often introduce new features, which may require the collection of new information
0	If we collect materially different personal data or materially change how we use your data, we will notify you and may also modify this Privacy Policy.
0	WHY WE COLLECT AND HOW WE USE YOUR INFORMATION
0	How we use your Information will depend on which Services you use, how you use those Services and the choices you make in your settings
0	The primary reason we collect Information is to provide and improve our Services, manage your account and subscription to our Service, and to provide you with a more customized experience on our Services.
0	The following is a summary of more specific ways we may use your personal information:
0	To provide payment processing and account management, operate, measure and improve our Services, keep our Services safe, secure and operational, and customize Website content
0	To contact you regarding your account, to respond to your requests or questions, to troubleshoot problems with your account, to resolve a dispute, to collect fees or monies owed or as otherwise necessary to provide you customer service
0	To send you transactional communications
0	For example, we might send you emails about your purchase or to confirm your registration for an event
0	We might also contact you about this policy or our website terms
0	To provide other services requested by you as described when we collect the Information
0	For marketing purposes
0	For example, we might send you information about events or special promotions
0	We might also tell you about new features or products
0	To learn about your choices for these communications, read Section 8.2 below
0	We may also use push notifications on our mobile apps to send you various alerts and updates
0	To improve our Services, for example by reviewing information associated with stalled or crashed pages experienced by users allowing us to identify and fix problems and give you a better experience
0	For security purposes
0	To prevent, detect, mitigate, and investigate fraud, security breaches or other potentially prohibited or illegal activities and/or attempts to harm our users
0	To monitor and improve the information security of our Websites and mobile applications
0	To enforce our Terms of Use, this Policy, or other policies, and to monitor for violations of our policies or applicable laws
0	We also use Information as otherwise described in this Policy, permitted by law, or as we may notify you.
0	HOW YOUR INFORMATION IS SHARED
0	4.1 Sharing by you
0	Certain Services offered are social by their very nature, so your participation in such a Service will allow others to see your name and/or username, profile picture, social profile, and any other content you upload or disclose through that profile.
0	4.2 Sharing by us
0	We share your Information with third parties as listed below and as otherwise described elsewhere in this Policy:
0	We employ and allow third parties to perform tasks on our behalf, such as payment processing, data management and analytics, marketing, advertising, communication and IT services, and we need to share your Information with them in order for them to provide such products and services
0	Unless we tell you differently or you consent otherwise, these third parties do not have any right to use your Information beyond what is necessary to assist us in providing such products and services
0	Any uses of your Information by these third parties will remain governed by security and confidentiality obligations consistent with this Policy and applicable law.
0	Subject to applicable laws, we may share your Information with companies with whom the Company is affiliated or related to (e.g., parent company or subsidiaries), and will require such affiliated or related companies to use the Information solely in accordance with this Policy.
0	We may choose to buy or sell assets
0	In these types of transactions, customer Information is typically one of the business assets that would be transferred
0	Also, if we (or our assets) are acquired or merged, or if we go out of business, enter bankruptcy, or go through some other change of control, Information would be one of the assets transferred to or acquired by a third party.
0	Protection of Company and Others
0	We reserve the right to access, read, preserve, and disclose any Information that we reasonably believe is necessary to comply with law or court order; enforce or apply our conditions of use and other agreements; or protect the rights, property, interests, or safety of our Company, our employees, our users, or others
0	This includes exchanging information with other companies and organizations for fraud protection and credit risk reduction.
0	Aggregated and Anonymized Information
0	We also may share (within our affiliated entities or with third parties) aggregated or anonymized information that does not explicitly identify you or any individual user of our Services
0	From time to time, the Company may provide demographic and statistical information to prospective partners for the purposes of securing advertising and/or for general promotion of the Service
0	This disclosure will not share any personal information of individual users but is intended to give a broad overview of the Service＊s membership.
0	THE SECURITY OF YOUR INFORMATION
0	The security of your Information is important to us
0	We take commercially reasonable security measures, including administrative, technical, and physical safeguards, to protect your Information from loss, theft, misuse, and unauthorized access, disclosure, alteration, and destruction.
0	Your account is protected by a password for your privacy and security
0	You must prevent unauthorized access to your account and Information by selecting and protecting your password and/or other sign-on mechanism appropriately
0	To help protect your Information, you should not share your account information or password, reuse your password on other sites, or use a password you have used on other sites.
0	We endeavor to protect the privacy of your account and other Information we hold in our records, but we cannot guarantee complete security
0	Unauthorized entry or use, hardware or software failure, and other factors, may compromise the security of user information at any time.
0	WHERE YOUR INFORMATION WILL BE HELD
0	In order to provide the Service, the Information that we collect from you may be transferred to and stored at a destination outside of your country and the European Economic Area (※EEA§), and, in particular, the United States
0	It may also be processed by any service providers appointed by us who operate outside of the EEA and their staff
0	By submitting your data, you agree to this transfer, storing or processing outside of the EEA or your country and acknowledge that not all countries guarantee the same level of protection for your Information as the one in which you reside
0	Data transferred will be treated in accordance with this Policy and, where applicable, the EU General Data Protection Regulation.
0	LAWFUL BASES FOR PROCESSING
0	We will only collect and process Information about you where we have lawful bases
0	Lawful bases include consent (where you have given consent), contract (where processing is necessary for the performance of a contract with you (e.g
0	to deliver the Services you have requested)) and ※legitimate interests§.
0	Where we process Information based on consent, we will ask for your explicit consent
0	You may withdraw your consent at any time, but that will not affect the lawfulness of the processing of your personal data prior to such withdrawal.
0	Where we rely on contract, we will ask that you agree to the processing of personal data that is necessary for entering into or performance of your contract with us
0	We provide a voluntary service; you can choose whether or not you want to use the Services
0	However, if you want to use the Services, you need to agree to our Terms of Use, which set out the contract between the Company and you
0	As we operate in countries worldwide (including the US) and use technical infrastructure in the US to deliver the Services to you, in accordance with the contract between us, we may need to transfer your Information to the US and to other jurisdictions as necessary to provide the Services.
0	Where we rely on legitimate interests as a basis for Information processing, you have the right to object
0	We may process your personal data for the purposes of our legitimate interests or for the legitimate interests of third parties, provided that such processing shall not outweigh your rights and freedoms.
4	 For example, we may process your personal Information to:
4	Protect you, us, or others from threats (such as security threats or fraud)
4	Comply with laws that apply to us
4	Enable or administer our business, such as for quality control, consolidated reporting, and customer service
4	Manage corporate transactions, such as mergers or acquisitions
4	Understand and improve our business or customer relationships generally
4	Enable us and our users to connect with each other, view content, express opinions, exchange information, and conduct business
5	If you have any questions about the lawful bases upon which we collect and use your Information, please contact our legal department at privacy@roosterteeth.com.
0	WHAT INFORMATION YOU CAN ACCESS
8	Through your account settings for the Service,you may access, edit, or delete Information you＊ve provided and your record of interactions with the Service
0	Such Information and interactions, and your ability to update them, will vary based on the Service.
0	8.1 Right to Access and Control Your Information
0	We provide many choices about the collection, use and sharing of your Information.
0	Individuals located in certain countries, including the European Economic Area, have certain rights related to their personal Information
0	Subject to any exemptions provided by law, you may have the right to request the following for personal data that we have about you:
8	Delete Information: You can ask us to erase or delete all or some of your personal data (e.g., if it is no longer necessary to provide Services to you).
